FID	IID	PRS
ID_527	ID_527	-0.00134055
ID_528	ID_528	0.00480797
ID_529	ID_529	-0.00132396
ID_530	ID_530	-0.00438151
ID_531	ID_531	0.00323288
ID_532	ID_532	0.00761437
ID_533	ID_533	0.00550849
ID_534	ID_534	0.00713927
ID_535	ID_535	0.000547283
ID_536	ID_536	0.00965258
ID_537	ID_537	0.0041144
ID_538	ID_538	0.00327126
ID_539	ID_539	0.0088805
ID_540	ID_540	-0.00141234
ID_541	ID_541	-0.00667418
ID_542	ID_542	-0.00037286
ID_543	ID_543	0.000637427
ID_544	ID_544	0.000249879
ID_545	ID_545	0.00371508
ID_546	ID_546	0.00653478
ID_547	ID_547	-0.00401161
ID_548	ID_548	0.0080484
ID_549	ID_549	0.00252002
ID_550	ID_550	-0.00734737
ID_551	ID_551	0.00666062
ID_552	ID_552	-0.0139724
ID_553	ID_553	-0.00447461
ID_554	ID_554	0.0102867
ID_555	ID_555	-0.00277116
ID_556	ID_556	0.00932833
ID_557	ID_557	-0.0163179
ID_558	ID_558	0.000683023
ID_559	ID_559	0.0041707
ID_560	ID_560	0.00209635
ID_561	ID_561	0.00675185
ID_562	ID_562	-0.00223628
ID_563	ID_563	-0.00193159
ID_564	ID_564	-0.00310823
ID_565	ID_565	0.00396743
ID_566	ID_566	0.00732295
ID_567	ID_567	0.000546399
ID_568	ID_568	0.0026507
ID_569	ID_569	0.00122443
ID_570	ID_570	-0.012345
ID_571	ID_571	0.00393071
ID_572	ID_572	-0.00407731
ID_573	ID_573	0.00668504
ID_574	ID_574	0.00789162
ID_575	ID_575	0.00953942
ID_576	ID_576	-3.80496e-05
ID_577	ID_577	-0.00105345
ID_578	ID_578	-0.00442182
ID_579	ID_579	0.00609568
ID_580	ID_580	-0.00124766
ID_581	ID_581	-0.00432576
ID_582	ID_582	-0.000437115
ID_583	ID_583	0.00870428
ID_584	ID_584	0.00465421
ID_585	ID_585	-0.00355792
ID_586	ID_586	0.000439032
ID_587	ID_587	0.00311065
ID_588	ID_588	-0.00221261
ID_589	ID_589	-0.000225495
ID_590	ID_590	0.00213911
ID_591	ID_591	0.00562872
ID_592	ID_592	0.00791948
ID_593	ID_593	0.00682803
ID_594	ID_594	-0.00411712
ID_595	ID_595	0.0112259
ID_596	ID_596	-0.00146115
ID_597	ID_597	0.00290067
ID_598	ID_598	0.00208543
ID_599	ID_599	-0.00499271
ID_600	ID_600	0.00295903
ID_601	ID_601	-0.000285255
ID_602	ID_602	0.00238792
ID_603	ID_603	0.00564155
ID_604	ID_604	0.0102717
ID_605	ID_605	-6.11736e-05
ID_606	ID_606	0.00464404
ID_607	ID_607	-0.00611083
ID_608	ID_608	0.0113765
ID_609	ID_609	0.00595398
ID_610	ID_610	0.00627458
ID_611	ID_611	0.00326389
ID_612	ID_612	0.00479209
ID_613	ID_613	0.00351797
ID_614	ID_614	-0.00480484
ID_615	ID_615	-0.00396657
ID_616	ID_616	0.0043928
ID_617	ID_617	0.00174236
ID_618	ID_618	0.0072852
ID_619	ID_619	0.00287355
ID_620	ID_620	-0.00413149
ID_621	ID_621	-0.0027355
ID_622	ID_622	0.00219056
ID_623	ID_623	0.0034409
ID_624	ID_624	0.00520191
ID_625	ID_625	0.00721078
ID_626	ID_626	0.00184112
ID_627	ID_627	-0.00318466
ID_628	ID_628	0.00299303
ID_629	ID_629	0.00667451
ID_630	ID_630	0.00381182
ID_631	ID_631	0.00219791
