FID	IID	PRS
ID_348	ID_348	0.00815936
ID_349	ID_349	0.0019786
ID_350	ID_350	-0.00489667
ID_351	ID_351	0.000455218
ID_352	ID_352	0.00142626
ID_353	ID_353	0.000827322
ID_354	ID_354	-0.00124912
ID_355	ID_355	-0.00598605
ID_356	ID_356	-0.00263626
ID_357	ID_357	0.00107609
ID_358	ID_358	-0.00533758
ID_359	ID_359	-0.00746276
ID_360	ID_360	-0.00225299
ID_361	ID_361	0.00375303
ID_362	ID_362	-0.0120562
ID_363	ID_363	0.0100281
ID_364	ID_364	-0.000507362
ID_365	ID_365	-0.00400541
ID_366	ID_366	-0.00625081
ID_367	ID_367	0.00172038
ID_368	ID_368	-0.00641964
ID_369	ID_369	0.00518089
ID_370	ID_370	0.00560909
ID_371	ID_371	-0.00741501
ID_372	ID_372	-0.00863835
ID_373	ID_373	0.00247211
ID_374	ID_374	0.0027706
ID_375	ID_375	0.00807318
ID_376	ID_376	-0.00965056
ID_377	ID_377	0.00397219
ID_378	ID_378	0.000294621
ID_379	ID_379	0.00796103
ID_380	ID_380	0.00728794
ID_381	ID_381	0.00425944
ID_382	ID_382	0.000575499
ID_383	ID_383	0.00736786
ID_384	ID_384	0.000992182
ID_385	ID_385	-0.00516004
ID_386	ID_386	0.0073667
ID_387	ID_387	-0.00141184
ID_388	ID_388	0.00758012
ID_389	ID_389	0.0015744
ID_390	ID_390	-0.0110382
ID_391	ID_391	0.000976928
ID_392	ID_392	0.00429934
ID_393	ID_393	0.00826044
ID_394	ID_394	-0.00988013
ID_395	ID_395	-0.00787014
ID_396	ID_396	-0.00188213
ID_397	ID_397	0.000995487
ID_398	ID_398	0.00282584
ID_399	ID_399	0.00353081
ID_400	ID_400	-0.00061734
ID_401	ID_401	0.00327217
ID_402	ID_402	-0.00153998
ID_403	ID_403	-0.00182413
ID_404	ID_404	0.00625998
ID_405	ID_405	0.00488936
ID_406	ID_406	0.00418466
ID_407	ID_407	-0.00452553
ID_408	ID_408	-0.000229168
ID_409	ID_409	-0.00654178
ID_410	ID_410	-1.31232e-05
ID_411	ID_411	-0.00267706
ID_412	ID_412	-0.00486051
ID_413	ID_413	0.00958591
ID_414	ID_414	-0.000378914
ID_415	ID_415	0.00576773
ID_416	ID_416	0.00586949
ID_417	ID_417	-0.00255364
ID_418	ID_418	-0.00177195
ID_419	ID_419	-0.00190241
ID_420	ID_420	0.0104922
ID_421	ID_421	-0.00572753
ID_422	ID_422	0.00396606
ID_423	ID_423	0.00277823
ID_424	ID_424	0.000152961
ID_425	ID_425	0.00746
ID_426	ID_426	0.00241316
ID_427	ID_427	0.00423208
ID_428	ID_428	-0.00154844
ID_429	ID_429	-0.00200871
ID_430	ID_430	-0.00145702
ID_431	ID_431	-0.00321006
ID_432	ID_432	0.000327493
ID_433	ID_433	-0.00685625
ID_434	ID_434	-0.00133988
ID_435	ID_435	-0.00541061
ID_436	ID_436	0.0104726
ID_437	ID_437	0.00157928
ID_438	ID_438	0.00174043
ID_439	ID_439	-0.00394658
ID_440	ID_440	0.00244706
ID_441	ID_441	0.00370051
ID_442	ID_442	0.00476106
ID_443	ID_443	-0.0022722
ID_444	ID_444	-0.00121586
ID_445	ID_445	-0.00446434
ID_446	ID_446	2.18793e-05
ID_447	ID_447	0.00392709
ID_448	ID_448	-0.00113457
ID_449	ID_449	-0.00514835
ID_450	ID_450	-0.00258665
ID_451	ID_451	0.00561208
ID_452	ID_452	-0.000701472
ID_453	ID_453	0.00309526
ID_454	ID_454	0.00118358
ID_455	ID_455	0.000235112
ID_456	ID_456	0.00322276
ID_457	ID_457	-0.00115242
ID_458	ID_458	-0.00103793
ID_459	ID_459	-0.0123628
ID_460	ID_460	-0.00561047
ID_461	ID_461	-0.00336434
ID_462	ID_462	0.000463578
ID_463	ID_463	0.00532797
ID_464	ID_464	0.00315191
ID_465	ID_465	0.00280448
ID_466	ID_466	0.000756722
ID_467	ID_467	-0.00623478
ID_468	ID_468	-0.00337454
ID_469	ID_469	0.0017592
ID_470	ID_470	0.000437642
ID_471	ID_471	-0.00124869
ID_472	ID_472	0.00205337
ID_473	ID_473	-0.00497923
ID_474	ID_474	0.00716066
ID_475	ID_475	-0.000827605
ID_476	ID_476	0.0061746
ID_477	ID_477	0.00656033
ID_478	ID_478	-0.000774232
ID_479	ID_479	-0.00457937
ID_480	ID_480	-0.00459265
ID_481	ID_481	-0.000200071
ID_482	ID_482	-0.00101417
ID_483	ID_483	0.0092194
ID_484	ID_484	-0.00164396
ID_485	ID_485	-0.00168849
ID_486	ID_486	0.00564042
ID_487	ID_487	-0.0023868
ID_488	ID_488	-0.00434018
ID_489	ID_489	-0.00398987
ID_490	ID_490	-0.00380634
ID_491	ID_491	-0.00165353
ID_492	ID_492	-0.00206367
ID_493	ID_493	0.00528792
ID_494	ID_494	0.00235858
ID_495	ID_495	0.002315
ID_496	ID_496	-0.00311133
ID_497	ID_497	0.00707925
ID_498	ID_498	-0.0017642
ID_499	ID_499	-0.00425541
ID_500	ID_500	-2.15937e-05
ID_501	ID_501	0.000594505
ID_502	ID_502	0.00765248
ID_503	ID_503	-0.00375926
ID_504	ID_504	-0.00823223
ID_505	ID_505	0.000547689
ID_506	ID_506	0.000739518
ID_507	ID_507	0.0114093
ID_508	ID_508	-0.000161077
ID_509	ID_509	0.000417758
ID_510	ID_510	0.00200644
ID_511	ID_511	0.000530716
ID_512	ID_512	0.00901602
ID_513	ID_513	-0.00392791
ID_514	ID_514	-0.00132406
ID_515	ID_515	-0.00226784
ID_516	ID_516	-0.00278363
ID_517	ID_517	0.00203906
ID_518	ID_518	0.00016531
ID_519	ID_519	-0.00094445
ID_520	ID_520	0.0119621
ID_521	ID_521	-0.0067334
ID_522	ID_522	0.00431226
ID_523	ID_523	0.00803044
ID_524	ID_524	-0.00156212
ID_525	ID_525	6.86374e-05
ID_526	ID_526	-0.0109831
ID_527	ID_527	0.00958896
ID_528	ID_528	0.0062149
ID_529	ID_529	-0.00175703
ID_530	ID_530	-0.00125896
ID_531	ID_531	-0.00021779
ID_532	ID_532	0.00154883
ID_533	ID_533	0.00261631
ID_534	ID_534	-0.000910596
ID_535	ID_535	0.00636282
ID_536	ID_536	-0.00139821
ID_537	ID_537	-0.00380824
ID_538	ID_538	-0.0102608
ID_539	ID_539	-0.00237309
ID_540	ID_540	-0.00411067
ID_541	ID_541	-0.00230974
ID_542	ID_542	0.00426101
ID_543	ID_543	0.00774951
ID_544	ID_544	0.00375232
ID_545	ID_545	0.00158589
ID_546	ID_546	0.00179247
ID_547	ID_547	0.00876614
ID_548	ID_548	-0.00490554
